Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Mark Ilgenfritz,Vanderbilt,1,1974,1974,14,2,https://www.profootballarchives.com/players/i/ilge00200.html
Tunch Ilkin,Indiana,State,14,1980,1993,177,https://www.profootballarchives.com/players/i/ilki00200.html
Ted Illman,Montana,2,1926,1928,14,8,https://www.profootballarchives.com/players/i/illm00200.html
George Iloka,Boise,State,8,2012,2020,103,https://www.profootballarchives.com/players/i/ilok00200.html
Roy Ilowit,CCNY,1,1937,1937,4,1,https://www.profootballarchives.com/players/i/ilow00200.html
Ken Iman,Southeast,Missouri,State,14,1960,1974,https://www.profootballarchives.com/players/i/iman00200.html
Marty Imhof,Pasadena,CC;,San,Diego,State,4,https://www.profootballarchives.com/players/i/imho00200.html
Tut Imlay,California,2,1926,1927,17,14,https://www.profootballarchives.com/players/i/imla00200.html
Richie Incognito,Nebraska;,Oregon,14,2006,2020,164,https://www.profootballarchives.com/players/i/inco00100.html
Thomas Incoom,Valdosta,State;,Central,Michigan,2,2023,https://www.profootballarchives.com/players/i/inco00150.html
Bob Ingalls,Michigan,1,1942,1942,10,6,https://www.profootballarchives.com/players/i/inga00200.html
Mark Ingle,none,1,1921,1921,1,0,https://www.profootballarchives.com/players/i/ingl00200.html
Tim Inglis,Toledo,2,1987,1988,12,3,https://www.profootballarchives.com/players/i/ingl00600.html
Alec Ingold,Wisconsin,6,2019,2024,90,48,https://www.profootballarchives.com/players/i/ingo00150.html
Brian Ingram,Tennessee,5,1982,1987,40,1,https://www.profootballarchives.com/players/i/ingr00200.html
Byron Ingram,Eastern,Kentucky,2,1987,1988,13,https://www.profootballarchives.com/players/i/ingr00400.html
Clint Ingram,Oklahoma,4,2006,2009,56,46,https://www.profootballarchives.com/players/i/ingr00470.html
Darryl Ingram,California,4,1989,1993,36,2,https://www.profootballarchives.com/players/i/ingr00500.html
Ed Ingram,Louisiana,State,3,2022,2024,49,https://www.profootballarchives.com/players/i/ingr00505.html
Jake Ingram,Hawaii,3,2009,2010,25,0,https://www.profootballarchives.com/players/i/ingr00540.html
Ja'Marcus Ingram,Utah,State;,Texas,Tech;,Buffalo,3,https://www.profootballarchives.com/players/i/ingr00547.html
Johnathan Ingram,San,Diego,State,1,2005,2005,https://www.profootballarchives.com/players/i/ingr00570.html
Keaontay Ingram,Texas;,Southern,California,3,2022,2024,https://www.profootballarchives.com/players/i/ingr00577.html
Kevin Ingram,East,Carolina,1,1987,1987,2,https://www.profootballarchives.com/players/i/ingr00600.html
Mark Ingram,Michigan,State,10,1987,1996,128,https://www.profootballarchives.com/players/i/ingr00800.html
Mark Ingram,Alabama,13,2011,2022,156,100,https://www.profootballarchives.com/players/i/ingr00810.html
Melvin Ingram,South,Carolina,13,2012,2023,148,https://www.profootballarchives.com/players/i/ingr00840.html
Steve Ingram,Maryland,2,1995,1999,8,0,https://www.profootballarchives.com/players/i/ingr01200.html
Burt Ingwersen,Illinois,1,1920,1920,7,7,https://www.profootballarchives.com/players/i/ingw00200.html
Dontrelle Inman,Virginia,9,2014,2020,75,37,https://www.profootballarchives.com/players/i/inma00300.html
Jerry Inman,Boise,JC;,Oregon,7,1966,1973,https://www.profootballarchives.com/players/i/inma00400.html
Earl Inmon,Bethune-Cookman,1,1978,1978,2,0,https://www.profootballarchives.com/players/i/inmo00200.html
Dou Innocent,Mississippi,1,1996,1996,4,0,https://www.profootballarchives.com/players/i/inno00200.html
Trevor Insley,Nevada-Reno,1,2001,2001,11,0,https://www.profootballarchives.com/players/i/insl00200.html
Marne Intrieri,Loyola,(Maryland),3,1932,1934,20,https://www.profootballarchives.com/players/i/intr00200.html
Junior Ioane,Snow,JC;,Arizona,State,5,2001,https://www.profootballarchives.com/players/i/ioan00200.html
Matt Ioannidis,Temple,7,2016,2022,86,53,https://www.profootballarchives.com/players/i/ioan00400.html
Joey Iosefa,Hawaii,1,2015,2015,2,0,https://www.profootballarchives.com/players/i/iose00200.html
Andrei Iosivas,Princeton,2,2023,2024,33,9,https://www.profootballarchives.com/players/i/iosi00400.html
Tony Ippolito,Purdue,1,1943,1943,9,0,https://www.profootballarchives.com/players/i/ippo00200.html
Darwin Ireland,Arkansas,2,1994,1995,3,0,https://www.profootballarchives.com/players/i/irel00200.html
Einar Irgens,none,3,1921,1923,10,7,https://www.profootballarchives.com/players/i/irge00200.html
David Irons,Butler,CC;,Auburn,2,2007,2008,https://www.profootballarchives.com/players/i/iron00130.html
Gerald Irons,Maryland-Eastern,Shore,10,1970,1979,135,https://www.profootballarchives.com/players/i/iron00200.html
Grant Irons,Notre,Dame,5,2002,2006,41,https://www.profootballarchives.com/players/i/iron00400.html
Paul Irons,Florida,State,1,2005,2005,2,https://www.profootballarchives.com/players/i/iron00600.html
Barlow Irvin,Texas,A&M,2,1926,1927,15,https://www.profootballarchives.com/players/i/irvi00200.html
Bruce Irvin,Butler,CC;,Mount,San,Antonio,JC;,https://www.profootballarchives.com/players/i/irvi00220.html
Corvey Irvin,Georgia,Military,JC;,Georgia,4,2010,https://www.profootballarchives.com/players/i/irvi00300.html
Darrell Irvin,Northeastern,Oklahoma,A&M,JC;,Oklahoma,4,https://www.profootballarchives.com/players/i/irvi00400.html
Ken Irvin,Memphis,10,1995,2005,147,72,https://www.profootballarchives.com/players/i/irvi00500.html
LeRoy Irvin,Kansas,11,1980,1990,159,120,https://www.profootballarchives.com/players/i/irvi00600.html
