Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Antonio Gandy-Golden,Liberty,2,2020,2021,10,2,https://www.profootballarchives.com/players/g/gand00600.html
Mike Gann,Notre,Dame,9,1985,1993,118,https://www.profootballarchives.com/players/g/gann00200.html
Chris Gannon,Louisiana-Lafayette,5,1989,1993,40,3,https://www.profootballarchives.com/players/g/gann00400.html
Rich Gannon,Delaware,16,1987,2004,157,132,https://www.profootballarchives.com/players/g/gann00600.html
Graham Gano,Florida,State,15,2009,2024,203,https://www.profootballarchives.com/players/g/gano00100.html
Al Gansberg,Miami,(Ohio),1,1926,1926,3,https://www.profootballarchives.com/players/g/gans00200.html
Brian Gant,Illinois,State,1,1987,1987,11,https://www.profootballarchives.com/players/g/gant00200.html
Dallas Gant,Ohio,State;,Toledo,1,2024,2024,https://www.profootballarchives.com/players/g/gant00350.html
Earl Gant,Missouri,2,1979,1980,20,3,https://www.profootballarchives.com/players/g/gant00400.html
Kenneth Gant,Albany,State,8,1990,1997,113,https://www.profootballarchives.com/players/g/gant00500.html
Reuben Gant,Oklahoma,State,7,1974,1980,101,https://www.profootballarchives.com/players/g/gant00600.html
Milt Gantenbein,Wisconsin,10,1931,1940,104,71,https://www.profootballarchives.com/players/g/gant00800.html
Quinton Ganther,Utah,6,2006,2010,36,5,https://www.profootballarchives.com/players/g/gant00900.html
Greg Gantt,Alabama,2,1974,1975,28,0,https://www.profootballarchives.com/players/g/gant01400.html
Jerome Gantt,North,Carolina,Central,1,1970,1970,https://www.profootballarchives.com/players/g/gant01600.html
Bob Gaona,Wake,Forest,5,1953,1957,60,https://www.profootballarchives.com/players/g/gaon00200.html
Mark Garalczyk,Western,Michigan,3,1987,1988,24,https://www.profootballarchives.com/players/g/gara00200.html
Antonio Garay,Boston,College,7,2003,2012,56,https://www.profootballarchives.com/players/g/gara00570.html
Tony Garbarczyk,Nassau,CC;,Wake,Forest,1,1987,https://www.profootballarchives.com/players/g/garb00200.html
Bubba Garcia,Texas-El,Paso,2,1980,1981,6,https://www.profootballarchives.com/players/g/garc00200.html
Eddie Garcia,Southern,Methodist,2,1983,1984,19,https://www.profootballarchives.com/players/g/garc00400.html
Elijah Garcia,Rice,3,2022,2024,10,3,https://www.profootballarchives.com/players/g/garc00420.html
Frank Garcia,Nevada-Las,Vegas;,Arizona,6,1981,1987,https://www.profootballarchives.com/players/g/garc00600.html
Frank Garcia,Washington,9,1995,2003,126,92,https://www.profootballarchives.com/players/g/garc00700.html
Jeff Garcia,Gavilan,JC;,San,Jose,State,11,https://www.profootballarchives.com/players/g/garc00750.html
Jim Garcia,Purdue,4,1965,1968,35,7,https://www.profootballarchives.com/players/g/garc00800.html
Max Garcia,Maryland;,Florida,9,2015,2023,122,https://www.profootballarchives.com/players/g/garc00925.html
Teddy Garcia,Louisiana-Monroe,3,1988,1990,28,0,https://www.profootballarchives.com/players/g/garc01200.html
Jerrol Garcia-Williams,Hawaii,1,2017,2017,11,0,https://www.profootballarchives.com/players/g/garc01300.html
Pierre Garcon,Norwich;,Mount,Union,11,2008,2018,https://www.profootballarchives.com/players/g/garc01400.html
Gus Gardella,Holy,Cross,1,1922,1922,7,https://www.profootballarchives.com/players/g/gard00200.html
Frank Garden,none,2,1920,1923,3,0,https://www.profootballarchives.com/players/g/gard00400.html
Daryl Gardener,Baylor,8,1996,2003,102,94,https://www.profootballarchives.com/players/g/gard00450.html
Ron Gardin,Cameron,JC;,Arizona,3,1970,1971,https://www.profootballarchives.com/players/g/gard00550.html
Andrew Gardner,Georgia,Tech,7,2009,2016,28,https://www.profootballarchives.com/players/g/gard00590.html
Ahmad Gardner,Cincinnati,3,2022,2024,48,48,https://www.profootballarchives.com/players/g/gard00595.html
Barry Gardner,Northwestern,7,1999,2005,110,24,https://www.profootballarchives.com/players/g/gard00610.html
Carwell Gardner,Kentucky;,Louisville,8,1990,1997,101,https://www.profootballarchives.com/players/g/gard00650.html
Derrick Gardner,California,1,1999,1999,7,0,https://www.profootballarchives.com/players/g/gard00680.html
Don Gardner,South,Dakota,State,1,2022,2022,https://www.profootballarchives.com/players/g/gard00697.html
Donnie Gardner,Kentucky,1,1991,1991,10,0,https://www.profootballarchives.com/players/g/gard00700.html
Ellis Gardner,Georgia,Tech,2,1983,1984,17,https://www.profootballarchives.com/players/g/gard00800.html
Gilbert Gardner,Purdue,6,2004,2008,54,15,https://www.profootballarchives.com/players/g/gard00940.html
Isaiah Gardner,Notre,Dame;,Maryland,1,2008,2008,https://www.profootballarchives.com/players/g/gard00960.html
Milt Gardner,Wisconsin,8,1920,1926,65,57,https://www.profootballarchives.com/players/g/gard01000.html
Moe Gardner,Illinois,6,1991,1996,90,86,https://www.profootballarchives.com/players/g/gard01200.html
Rich Gardner,Penn,State,2,2004,2005,28,https://www.profootballarchives.com/players/g/gard01220.html
Rod Gardner,Clemson,7,2001,2006,91,62,https://www.profootballarchives.com/players/g/gard01230.html
Talman Gardner,Florida,State,2,2003,2004,21,https://www.profootballarchives.com/players/g/gard01330.html
C.J. Gardner-Johnson,Florida,6,2019,2024,74,61,https://www.profootballarchives.com/players/g/gard01380.html
Dennis Gardeck,West,Virginia,State;,Sioux,Falls,7,https://www.profootballarchives.com/players/g/gard01390.html
Chris Gardocki,Clemson,16,1991,2006,244,0,https://www.profootballarchives.com/players/g/gard01400.html
Ben Garland,Air,Force,6,2014,2020,68,https://www.profootballarchives.com/players/g/garl00150.html
Chris Garlich,Missouri,1,1979,1979,9,0,https://www.profootballarchives.com/players/g/garl00400.html
Don Garlin,Southern,California,2,1949,1950,19,https://www.profootballarchives.com/players/g/garl00600.html
John Garlington,Louisiana,State,10,1968,1977,128,https://www.profootballarchives.com/players/g/garl00800.html
Kelvin Garmon,Baylor,5,2001,2004,52,50,https://www.profootballarchives.com/players/g/garm00200.html
Bill Garnaas,Minnesota,3,1946,1948,26,5,https://www.profootballarchives.com/players/g/garn00100.html
Bob Garner,none,1,1945,1945,1,0,https://www.profootballarchives.com/players/g/garn00200.html
Bob Garner,Long,Beach,CC;,Fresno,State,3,https://www.profootballarchives.com/players/g/garn00300.html
Charlie Garner,Scottsdale,CC;,Tennessee,11,1994,2004,https://www.profootballarchives.com/players/g/garn00350.html
Dwight Garner,California,1,1986,1986,2,0,https://www.profootballarchives.com/players/g/garn00400.html
Hal Garner,Utah,State,5,1985,1991,67,https://www.profootballarchives.com/players/g/garn00600.html
Mekhi Garner,Navarro,JC;,Louisiana-Lafayette;,Louisiana,State,1,https://www.profootballarchives.com/players/g/garn00706.html
Nate Garner,Arkansas,5,2009,2014,74,19,https://www.profootballarchives.com/players/g/garn00720.html
Sam Garnes,Cincinnati,7,1997,2003,106,105,https://www.profootballarchives.com/players/g/garn00850.html
Dave Garnett,Stanford,4,1993,1996,40,4,https://www.profootballarchives.com/players/g/garn01100.html
Joshua Garnett,Stanford,3,2016,2020,25,11,https://www.profootballarchives.com/players/g/garn01150.html
Scott Garnett,Washington,4,1984,1987,27,3,https://www.profootballarchives.com/players/g/garn01400.html
Winfield Garnett,Ohio,State,1,2001,2001,12,https://www.profootballarchives.com/players/g/garn01570.html
Bill Garnjost,Columbia,1,1921,1921,5,4,https://www.profootballarchives.com/players/g/garn01600.html
Jimmy Garoppolo,Eastern,Illinois,11,2014,2024,82,https://www.profootballarchives.com/players/g/garo00400.html
David Garrard,East,Carolina,9,2002,2010,86,https://www.profootballarchives.com/players/g/garr00070.html
Al Garrett,Rutgers,2,1920,1922,12,6,https://www.profootballarchives.com/players/g/garr00200.html
Alvin Garrett,Angelo,State,6,1980,1984,55,https://www.profootballarchives.com/players/g/garr00400.html
Bill Garrett,Mississippi,State,3,1948,1950,32,https://www.profootballarchives.com/players/g/garr00450.html
Bobby Garrett,Stanford,1,1954,1954,9,0,https://www.profootballarchives.com/players/g/garr00500.html
Carl Garrett,New,Mexico,Highlands,9,1969,1977,https://www.profootballarchives.com/players/g/garr00600.html
Chris Garrett,Concordia,(St.,Paul),1,2021,2021,https://www.profootballarchives.com/players/g/garr00701.html
Curtis Garrett,Illinois;,Illinois,State,1,1987,1987,https://www.profootballarchives.com/players/g/garr00800.html
Drake Garrett,Michigan,State,2,1968,1970,15,https://www.profootballarchives.com/players/g/garr01000.html
Jason Garrett,Princeton;,Columbia;,Princeton,9,1993,2001,https://www.profootballarchives.com/players/g/garr01100.html
J.D. Garrett,Grambling,State,4,1964,1967,50,https://www.profootballarchives.com/players/g/garr01200.html
John Garrett,Princeton;,Columbia;,Princeton,1,1989,1989,https://www.profootballarchives.com/players/g/garr01300.html
Kevin Garrett,Southern,Methodist,3,2003,2006,24,https://www.profootballarchives.com/players/g/garr01380.html
Len Garrett,New,Mexico,Highlands,7,1971,1975,https://www.profootballarchives.com/players/g/garr01400.html
Mike Garrett,Southern,California,9,1966,1973,104,https://www.profootballarchives.com/players/g/garr01600.html
Mike Garrett,Georgia,1,1981,1981,16,0,https://www.profootballarchives.com/players/g/garr01800.html
Myles Garrett,Texas,A&M,8,2017,2024,117,https://www.profootballarchives.com/players/g/garr01860.html
Reggie Garrett,New,Mexico,Highlands;,Eastern,Michigan,2,https://www.profootballarchives.com/players/g/garr02000.html
Shane Garrett,Texas,A&M,1,1991,1991,4,https://www.profootballarchives.com/players/g/garr02100.html
Thurman Garrett,Oklahoma,State,2,1947,1948,22,https://www.profootballarchives.com/players/g/garr02200.html
Gary Garrison,Long,Beach,CC;,San,Diego,State,https://www.profootballarchives.com/players/g/garr02400.html
Walt Garrison,Oklahoma,State,9,1966,1974,119,https://www.profootballarchives.com/players/g/garr02600.html
Gregg Garrity,Penn,State,8,1983,1989,79,https://www.profootballarchives.com/players/g/garr03000.html
Larry Garron,Western,Illinois,9,1960,1968,98,https://www.profootballarchives.com/players/g/garr03200.html
Eric Garror,Louisiana-Lafayette,1,2023,2023,12,4,https://www.profootballarchives.com/players/g/garr03350.html
Leon Garror,Alcorn,State,2,1972,1973,16,https://www.profootballarchives.com/players/g/garr03400.html
Ben Garry,Southern,Mississippi,2,1979,1980,14,https://www.profootballarchives.com/players/g/garr03600.html
Chris Gartner,Indiana,1,1974,1974,11,0,https://www.profootballarchives.com/players/g/gart00200.html
Art Garvey,Notre,Dame,11,1922,1931,82,https://www.profootballarchives.com/players/g/garv00200.html
Frank Garvey,Holy,Cross,2,1925,1926,19,https://www.profootballarchives.com/players/g/garv00400.html
Jonathan Garvin,Miami,(Florida),3,2020,2022,38,https://www.profootballarchives.com/players/g/garv01220.html
Terence Garvin,West,Virginia,6,2013,2018,75,https://www.profootballarchives.com/players/g/garv01600.html
Cleveland Gary,Georgia;,Miami,(Florida),6,1989,1994,https://www.profootballarchives.com/players/g/gary00100.html
Keith Gary,Ferrum,JC;,Oklahoma,6,1983,1988,https://www.profootballarchives.com/players/g/gary00400.html
Olandis Gary,Marshall;,Georgia,5,1999,2003,48,https://www.profootballarchives.com/players/g/gary00500.html
Rashan Gary,Michigan,6,2019,2024,90,59,https://www.profootballarchives.com/players/g/gary00590.html
Russell Gary,Nebraska,8,1981,1987,80,58,https://www.profootballarchives.com/players/g/gary00600.html
Shamiel Gary,Wyoming;,Oklahoma,State,2,2015,2016,https://www.profootballarchives.com/players/g/gary00700.html
Willie Gary,Kentucky,1,2001,2001,7,0,https://www.profootballarchives.com/players/g/gary01000.html
