Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Budda Baker,Washington,8,2017,2024,122,112,https://www.profootballarchives.com/players/b/bake00500.html
Bullet Baker,Santa,Clara;,Southern,California,7,1926,https://www.profootballarchives.com/players/b/bake00600.html
Charlie Baker,New,Mexico,8,1980,1987,109,https://www.profootballarchives.com/players/b/bake01000.html
Chase Baker,Boise,State,1,2013,2013,5,https://www.profootballarchives.com/players/b/bake01050.html
Chris Baker,Penn,State;,Hampton,8,2009,2017,https://www.profootballarchives.com/players/b/bake01140.html
Chris Baker,Michigan,State,9,2002,2010,131,https://www.profootballarchives.com/players/b/bake01150.html
Conway Baker,Centenary,10,1936,1945,96,54,https://www.profootballarchives.com/players/b/bake01200.html
Dallas Baker,Florida,1,2008,2008,8,0,https://www.profootballarchives.com/players/b/bake01300.html
Darrell Baker,Georgia,Southern,3,2022,2024,34,https://www.profootballarchives.com/players/b/bake01350.html
Dave Baker,Oklahoma,3,1959,1961,38,37,https://www.profootballarchives.com/players/b/bake01400.html
Deandre Baker,Georgia,3,2019,2021,26,17,https://www.profootballarchives.com/players/b/bake01430.html
Ed Baker,Lafayette,1,1972,1972,1,0,https://www.profootballarchives.com/players/b/bake01600.html
Edwin Baker,Michigan,State,2,2013,2014,6,https://www.profootballarchives.com/players/b/bake01620.html
Eugene Baker,Kent,State,4,1999,2004,8,https://www.profootballarchives.com/players/b/bake01700.html
Frank Baker,Northwestern,1,1931,1931,2,2,https://www.profootballarchives.com/players/b/bake01800.html
Jason Baker,Iowa,14,2001,2011,167,0,https://www.profootballarchives.com/players/b/bake02030.html
Javon Baker,Alabama;,Central,Florida,1,2024,2024,https://www.profootballarchives.com/players/b/bake02035.html
Jerome Baker,Ohio,State,8,2018,2024,104,https://www.profootballarchives.com/players/b/bake02150.html
Jerry Baker,Coffeyville,CC;,Tulane,1,1983,1983,https://www.profootballarchives.com/players/b/bake02200.html
Jesse Baker,Jacksonville,State,10,1979,1987,128,https://www.profootballarchives.com/players/b/bake02400.html
John Baker,North,Carolina,Central,11,1958,1968,https://www.profootballarchives.com/players/b/bake02800.html
John Baker,Virginia,Union;,Norfolk,State,1,1970,https://www.profootballarchives.com/players/b/bake03000.html
