Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Cole Van,Lanen,Wisconsin,4,2021,2024,35,https://www.profootballarchives.com/players/v/vanl00100.html
Ed Van,Meter,none,1,1921,1921,2,https://www.profootballarchives.com/players/v/vanm00200.html
Norwood Vann,East,Carolina,5,1984,1988,52,https://www.profootballarchives.com/players/v/vann00400.html
Lukas Van,Ness,Iowa,2,2023,2024,34,https://www.profootballarchives.com/players/v/vann00505.html
Nick Vannett,Ohio,State,11,2016,2024,111,https://www.profootballarchives.com/players/v/vann00540.html
Jeff Van,Note,Kentucky,18,1969,1986,246,https://www.profootballarchives.com/players/v/vann00600.html
Kyle Van,Noy,Brigham,Young,12,2014,2024,https://www.profootballarchives.com/players/v/vann01000.html
Tamarick Vanover,Florida,State,6,1995,2002,77,https://www.profootballarchives.com/players/v/vano00200.html
Vern Vanoy,Kansas,3,1971,1973,20,3,https://www.profootballarchives.com/players/v/vano00400.html
Alex Van,Pelt,Pittsburgh,9,1995,2003,31,https://www.profootballarchives.com/players/v/vanp00200.html
Brad Van,Pelt,Michigan,State,14,1973,1986,https://www.profootballarchives.com/players/v/vanp00400.html
Bradlee Van,Pelt,Michigan,State;,Colorado,State,1,https://www.profootballarchives.com/players/v/vanp00430.html
Sedrick Van,Pran-Granger,Georgia,1,2024,2024,16,https://www.profootballarchives.com/players/v/vanp01200.html
Dick Van,Raaphorst,Ohio,State,3,1964,1967,https://www.profootballarchives.com/players/v/vanr00200.html
Jeff Van,Raaphorst,Arizona,State,1,1987,1987,https://www.profootballarchives.com/players/v/vanr00400.html
Greg Van,Roten,Pennsylvania,10,2012,2024,127,https://www.profootballarchives.com/players/v/vanr01000.html
Clyde Van,Sickle,Arkansas,3,1930,1933,21,https://www.profootballarchives.com/players/v/vans00200.html
Ben VanSumeren,Michigan;,Michigan,State,2,2023,2024,https://www.profootballarchives.com/players/v/vans01150.html
Fred Vant,Hull,Minnesota;,Navy,1,1942,1942,https://www.profootballarchives.com/players/v/vant00200.html
Art Van,Tone,Southern,Mississippi,4,1943,1946,https://www.profootballarchives.com/players/v/vant00400.html
Pete Van,Valkenberg,Brigham,Young,3,1973,1974,https://www.profootballarchives.com/players/v/vanv00200.html
Zach VanValkenburg,Hillsdale;,Iowa,1,2023,2023,9,https://www.profootballarchives.com/players/v/vanv00250.html
Jim Van,Wagner,Michigan,Tech,1,1978,1978,https://www.profootballarchives.com/players/v/vanw00200.html
Fred Vanzo,Northwestern,5,1938,1941,39,33,https://www.profootballarchives.com/players/v/vanz00200.html
Mike Varajon,Toledo,1,1987,1987,3,1,https://www.profootballarchives.com/players/v/vara00200.html
Tommy Vardell,Stanford,8,1992,1999,87,57,https://www.profootballarchives.com/players/v/vard00200.html
Johnny Vardian,none,3,1946,1948,30,14,https://www.profootballarchives.com/players/v/vard00400.html
Tyler Varga,Western,Ontario;,Yale,1,2015,2015,https://www.profootballarchives.com/players/v/varg00100.html
Larry Vargo,Detroit,Mercy,5,1962,1966,57,https://www.profootballarchives.com/players/v/varg00200.html
Frank Varrichione,Notre,Dame,11,1955,1965,133,https://www.profootballarchives.com/players/v/varr00200.html
Mike Varty,Northwestern,2,1974,1975,8,0,https://www.profootballarchives.com/players/v/vart00200.html
