Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Martinas Rankin,Mississippi,Gulf,Coast,CC;,Mississippi,State,https://www.profootballarchives.com/players/r/rank00165.html
Walt Rankin,Texas,Tech,5,1943,1947,49,https://www.profootballarchives.com/players/r/rank00200.html
Sheldon Rankins,Louisville,9,2016,2024,118,75,https://www.profootballarchives.com/players/r/rank00400.html
Derrick Ransom,Cincinnati,7,1998,2004,71,26,https://www.profootballarchives.com/players/r/rans00500.html
Keith Ranspot,Southern,Methodist,6,1940,1945,35,https://www.profootballarchives.com/players/r/rans00600.html
John Rapacz,Western,Michigan;,Oklahoma,7,1948,1954,https://www.profootballarchives.com/players/r/rapa00200.html
Bob Rapp,none,6,1922,1929,43,35,https://www.profootballarchives.com/players/r/rapp00200.html
Herb Rapp,Xavier,(Ohio),2,1930,1931,17,https://www.profootballarchives.com/players/r/rapp00400.html
Manny Rapp,St.,Louis,1,1934,1934,3,https://www.profootballarchives.com/players/r/rapp00600.html
Taylor Rapp,Washington,6,2019,2024,87,66,https://www.profootballarchives.com/players/r/rapp00750.html
Walter Rasby,Wake,Forest,12,1994,2004,144,https://www.profootballarchives.com/players/r/rasb00200.html
Amby Rascher,St.,Viator;,Indiana,1,1932,1932,https://www.profootballarchives.com/players/r/rasc00200.html
Lou Rash,Mississippi,Valley,State,2,1984,1987,https://www.profootballarchives.com/players/r/rash00200.html
Ahmad Rashad,Oregon,10,1972,1982,139,131,https://www.profootballarchives.com/players/r/rash00400.html
Sha'reff Rashad,Central,Florida,1,2010,2010,1,https://www.profootballarchives.com/players/r/rash00450.html
Hamilcar Rashed,Oregon,State,1,2021,2021,1,https://www.profootballarchives.com/players/r/rash00480.html
Kenyon Rasheed,Oklahoma,3,1993,1995,24,10,https://www.profootballarchives.com/players/r/rash00600.html
Saleem Rasheed,Alabama,4,2002,2005,45,4,https://www.profootballarchives.com/players/r/rash00650.html
Leo Raskowski,Ohio,State,4,1932,1935,16,https://www.profootballarchives.com/players/r/rask00200.html
Rocky Rasley,Bakersfield,CC;,Oregon,State,7,1969,https://www.profootballarchives.com/players/r/rasl00200.html
Kemp Rasmussen,Indiana,4,2002,2005,50,0,https://www.profootballarchives.com/players/r/rasm00170.html
Randy Rasmussen,Nebraska-Kearney,15,1967,1981,207,199,https://www.profootballarchives.com/players/r/rasm00200.html
Randy Rasmussen,Minnesota,5,1984,1988,43,3,https://www.profootballarchives.com/players/r/rasm00400.html
Wayne Rasmussen,South,Dakota,State,9,1964,1972,https://www.profootballarchives.com/players/r/rasm00600.html
Nick Rassas,Notre,Dame,3,1966,1968,27,https://www.profootballarchives.com/players/r/rass00200.html
Ed Rate,Purdue,1,1923,1923,1,1,https://www.profootballarchives.com/players/r/rate00200.html
Harry Ratican,St.,Louis,1,1921,1921,2,https://www.profootballarchives.com/players/r/rate00400.html
Bo Rather,Michigan,7,1973,1978,64,37,https://www.profootballarchives.com/players/r/rath00200.html
Tom Rathman,Nebraska,9,1986,1994,131,107,https://www.profootballarchives.com/players/r/rath00600.html
Joe Ratica,St.,Vincent,1,1939,1939,7,https://www.profootballarchives.com/players/r/rati00200.html
Brian Ratigan,Notre,Dame,1,1994,1994,14,https://www.profootballarchives.com/players/r/rati00600.html
Ray Ratkowski,Notre,Dame,1,1961,1961,1,https://www.profootballarchives.com/players/r/ratk00200.html
Damion Ratley,Blinn,JC;,Texas,A&M,3,2018,https://www.profootballarchives.com/players/r/ratl00050.html
Don Ratliff,Maryland,1,1975,1975,6,2,https://www.profootballarchives.com/players/r/ratl00200.html
Jay Ratliff,Auburn,11,2005,2015,122,102,https://www.profootballarchives.com/players/r/ratl00250.html
Keiwan Ratliff,Florida,8,2004,2010,76,12,https://www.profootballarchives.com/players/r/ratl00270.html
Tim Rattay,Scottsdale,CC;,Louisiana,Tech,8,2000,https://www.profootballarchives.com/players/r/ratt00050.html
Fred Ratterman,Michigan,1,1934,1934,1,0,https://www.profootballarchives.com/players/r/ratt00100.html
George Ratterman,Notre,Dame,10,1947,1956,93,https://www.profootballarchives.com/players/r/ratt00200.html
Spencer Rattler,Oklahoma;,South,Carolina,1,2024,2024,https://www.profootballarchives.com/players/r/ratt00500.html
Ryan Rau,Portland,State,1,2012,2012,4,https://www.profootballarchives.com/players/r/rau000150.html
Dick Rauch,Penn,State,3,1925,1929,9,https://www.profootballarchives.com/players/r/rauc00200.html
John Rauch,Georgia,4,1949,1951,26,11,https://www.profootballarchives.com/players/r/rauc00400.html
Bob Ravensberg,Indiana,2,1948,1949,24,14,https://www.profootballarchives.com/players/r/rave00200.html
Eric Ravotti,Penn,State,3,1994,1996,23,https://www.profootballarchives.com/players/r/ravo00200.html
Bob Rawlings,none,1,1922,1922,6,0,https://www.profootballarchives.com/players/r/rawl00200.html
Thomas Rawls,Michigan;,Central,Michigan,4,2015,2018,https://www.profootballarchives.com/players/r/rawl00350.html
Baby Ray,Vanderbilt,11,1938,1948,116,69,https://www.profootballarchives.com/players/r/ray000400.html
Darrol Ray,Oklahoma,5,1980,1984,72,69,https://www.profootballarchives.com/players/r/ray000600.html
David Ray,Alabama,6,1969,1974,70,0,https://www.profootballarchives.com/players/r/ray000800.html
Eddie Ray,Louisiana,State,6,1970,1976,48,https://www.profootballarchives.com/players/r/ray001000.html
John Ray,West,Virginia,1,1993,1993,2,https://www.profootballarchives.com/players/r/ray001200.html
LaBryan Ray,Alabama,2,2023,2024,33,9,https://www.profootballarchives.com/players/r/ray001240.html
Marcus Ray,Michigan,1,1999,1999,8,0,https://www.profootballarchives.com/players/r/ray001300.html
Mike Ray,Holy,Cross,1,1926,1926,3,https://www.profootballarchives.com/players/r/ray001330.html
Ricky Ray,Norfolk,State,4,1979,1981,31,https://www.profootballarchives.com/players/r/ray001400.html
Shane Ray,Missouri,4,2015,2018,49,15,https://www.profootballarchives.com/players/r/ray001450.html
Terry Ray,Oklahoma,5,1992,1996,73,26,https://www.profootballarchives.com/players/r/ray001600.html
Wyatt Ray,Boston,College,4,2020,2022,24,https://www.profootballarchives.com/players/r/ray002000.html
Tom Rayam,Alabama,2,1992,1993,20,13,https://www.profootballarchives.com/players/r/raya00200.html
Israel Raybon,North,Alabama,2,1996,1997,12,https://www.profootballarchives.com/players/r/rayb00010.html
Sam Rayburn,Tulsa,4,2003,2006,52,4,https://www.profootballarchives.com/players/r/rayb00150.html
Van Rayburn,Tennessee,1,1933,1933,10,3,https://www.profootballarchives.com/players/r/rayb00200.html
Jimmy Raye,Michigan,State,1,1969,1969,2,https://www.profootballarchives.com/players/r/raye00200.html
Jimmy Raye,San,Diego,State,1,1991,1991,https://www.profootballarchives.com/players/r/raye00400.html
Caesar Rayford,Washington,1,2013,2013,7,0,https://www.profootballarchives.com/players/r/rayf00300.html
Fred Rayhle,Tennessee-Chattanooga,1,1977,1977,2,0,https://www.profootballarchives.com/players/r/rayh00200.html
Andrew Raym,Oklahoma,1,2024,2024,1,0,https://www.profootballarchives.com/players/r/raym00050.html
Cory Raymer,Wisconsin,10,1995,2005,98,83,https://www.profootballarchives.com/players/r/raym00200.html
Corey Raymond,Louisiana,State,6,1992,1997,90,https://www.profootballarchives.com/players/r/raym00400.html
Kalif Raymond,Holy,Cross,9,2016,2024,96,https://www.profootballarchives.com/players/r/raym00950.html
Mistral Raymond,Ellsworth,CC;,South,Florida,3,2011,https://www.profootballarchives.com/players/r/raym01100.html
Dave Rayner,Michigan,State,8,2005,2011,59,https://www.profootballarchives.com/players/r/rayn00130.html
Rick Razzano,Virginia,Tech,5,1980,1984,65,https://www.profootballarchives.com/players/r/razz00200.html
Rick Razzano,Mississippi,1,2005,2005,1,0,https://www.profootballarchives.com/players/r/razz00210.html
Kevin Reach,Utah,1,1987,1987,3,3,https://www.profootballarchives.com/players/r/reac00200.html
D.J. Reader,Clemson,9,2016,2024,120,111,https://www.profootballarchives.com/players/r/read00320.html
Jamie Reader,Akron,1,2001,2001,16,0,https://www.profootballarchives.com/players/r/read00330.html
Russ Reader,Michigan,State,1,1947,1947,1,https://www.profootballarchives.com/players/r/read00400.html
Ike Readon,Hampton,1,1987,1987,3,0,https://www.profootballarchives.com/players/r/read00600.html
Ed Reagan,none,1,1926,1926,1,0,https://www.profootballarchives.com/players/r/reag00200.html
Frank Reagan,Pennsylvania,7,1941,1951,71,50,https://www.profootballarchives.com/players/r/reag00400.html
Jalen Reagor,Texas,Christian,5,2020,2024,64,https://www.profootballarchives.com/players/r/reag00780.html
Montae Reagor,Texas,Tech,9,1999,2007,99,https://www.profootballarchives.com/players/r/reag00800.html
Chuck Ream,Ohio,State,1,1938,1938,9,https://www.profootballarchives.com/players/r/ream00200.html
Tommy Reamon,Fort,Scott,CC;,Missouri,1,1976,https://www.profootballarchives.com/players/r/ream00600.html
Kerry Reardon,Iowa,6,1971,1976,58,26,https://www.profootballarchives.com/players/r/rear00200.html
Keith Reaser,Florida,Atlantic,4,2015,2017,30,https://www.profootballarchives.com/players/r/reas00100.html
Gary Reasons,Northwestern,State,(Louisiana),9,1984,1992,https://www.profootballarchives.com/players/r/reas00200.html
Darrin Reaves,Alabama-Birmingham,1,2014,2014,6,1,https://www.profootballarchives.com/players/r/reav00170.html
Jeremy Reaves,South,Alabama,7,2018,2024,64,https://www.profootballarchives.com/players/r/reav00190.html
John Reaves,Florida,9,1972,1987,51,17,https://www.profootballarchives.com/players/r/reav00200.html
Ken Reaves,Norfolk,State,13,1966,1977,165,https://www.profootballarchives.com/players/r/reav00400.html
